                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.50554,                0.99881,                0.93229,                0.94601,                0.89485,                 0.9735,                0.80895,                0.59879,                0.54308,                 1.0176,             0.00018155,             0.00018155,             0.00018155
                     36,                0.53154,                0.99491,                0.93867,                0.84697,                 0.9195,                0.95631,                0.79285,                0.63638,                0.54359,                 1.0262,             0.00018048,             0.00018048,             0.00018048
                     37,                0.51803,                0.97183,                0.92781,                0.92961,                 0.9189,                0.97277,                0.78425,                0.67082,                0.53659,                 1.0476,              0.0001794,              0.0001794,              0.0001794
                     38,                0.49802,                0.97304,                0.91965,                0.92662,                0.89783,                0.97366,                0.80523,                0.61295,                0.51404,                 1.0179,             0.00017833,             0.00017833,             0.00017833
                     39,                0.49041,                0.91527,                0.91382,                0.91176,                0.85126,                0.94908,                0.79669,                0.62333,                 0.5492,                 1.0256,             0.00017726,             0.00017726,             0.00017726
                     40,                 0.4859,                0.89005,                0.90859,                0.81809,                0.94829,                0.96537,                0.77965,                0.70614,                 0.5743,                 1.0593,             0.00017618,             0.00017618,             0.00017618
                     41,                0.50419,                0.91443,                0.92718,                0.92531,                0.88869,                0.97014,                0.81484,                0.60612,                 0.5188,                  1.003,             0.00017511,             0.00017511,             0.00017511
                     42,                0.48764,                0.88884,                0.91776,                0.83863,                0.97095,                0.97997,                0.82391,                 0.6061,                0.50079,                0.99761,             0.00017403,             0.00017403,             0.00017403
                     43,                0.49119,                0.85742,                 0.9179,                0.83735,                0.94299,                0.95963,                0.82057,                0.56307,                0.52485,                0.98629,             0.00017296,             0.00017296,             0.00017296
                     44,                0.48669,                0.83587,                0.90588,                0.90681,                0.92209,                0.98288,                0.81174,                0.59947,                0.47488,                 1.0213,             0.00017189,             0.00017189,             0.00017189
                     45,                0.46051,                0.83513,                0.90581,                0.84933,                0.98125,                0.97512,                0.81364,                0.62754,                0.48914,                 1.0349,             0.00017081,             0.00017081,             0.00017081
                     46,                0.51977,                0.82052,                0.91792,                0.92676,                0.91667,                0.97415,                0.82084,                0.60237,                0.47451,                  1.008,             0.00016974,             0.00016974,             0.00016974
                     47,                0.47937,                0.82544,                 0.9064,                0.92608,                0.90325,                0.97298,                0.82911,                0.57691,                0.50072,                0.99038,             0.00016866,             0.00016866,             0.00016866
                     48,                0.47808,                0.78714,                0.90918,                0.92926,                0.94571,                0.96994,                0.83018,                0.55282,                0.48935,                0.97915,             0.00016759,             0.00016759,             0.00016759
                     49,                0.49113,                0.80177,                0.91336,                0.86493,                0.95447,                 0.9747,                0.81949,                 0.5862,                0.51636,                 0.9915,             0.00016651,             0.00016651,             0.00016651
                     50,                 0.4779,                0.78656,                0.90778,                0.90983,                0.96209,                0.98164,                0.82988,                0.57086,                0.47425,                0.98591,             0.00016544,             0.00016544,             0.00016544
                     51,                0.47781,                0.77852,                0.91043,                0.87111,                0.97172,                0.98566,                0.83257,                0.59894,                0.49256,                 0.9953,             0.00016437,             0.00016437,             0.00016437
                     52,                0.45423,                0.73699,                0.89037,                0.91342,                 0.9083,                 0.9765,                0.82908,                 0.5894,                0.47639,                 1.0158,             0.00016329,             0.00016329,             0.00016329
                     53,                0.50021,                0.78947,                0.92405,                0.93628,                0.83061,                0.95842,                0.81789,                0.55251,                0.49019,                0.98878,             0.00016222,             0.00016222,             0.00016222
                     54,                0.45896,                0.74882,                0.90695,                0.83484,                0.97203,                0.96965,                0.82289,                0.57513,                0.50321,                0.99465,             0.00016114,             0.00016114,             0.00016114
                     55,                0.45589,                0.71491,                0.90017,                0.91164,                0.93597,                0.96417,                0.81337,                0.56277,                0.50303,                0.98547,             0.00016007,             0.00016007,             0.00016007
                     56,                0.44878,                0.71388,                0.90038,                0.81095,                0.96487,                0.98226,                0.82234,                 0.5837,                0.52495,                0.98702,               0.000159,               0.000159,               0.000159
                     57,                0.47082,                0.72557,                0.90406,                0.86433,                0.92564,                0.97235,                0.82894,                0.55007,                 0.4767,                0.97807,             0.00015792,             0.00015792,             0.00015792
                     58,                0.46841,                0.73441,                0.90964,                0.88582,                0.96738,                0.98809,                 0.8338,                0.55689,                0.47398,                0.98907,             0.00015685,             0.00015685,             0.00015685
                     59,                0.45197,                0.69369,                0.88665,                0.89843,                0.91347,                0.97587,                0.82391,                0.58294,                0.46333,                0.99968,             0.00015577,             0.00015577,             0.00015577
                     60,                0.43948,                0.65615,                0.89058,                0.93086,                0.92931,                0.98752,                0.82036,                 0.5762,                 0.4685,                 0.9945,              0.0001547,              0.0001547,              0.0001547
                     61,                0.45579,                0.68685,                0.89801,                0.89361,                0.92677,                0.98375,                0.82905,                0.55874,                0.47268,                0.98139,             0.00015363,             0.00015363,             0.00015363
                     62,                0.48121,                0.69516,                0.89797,                0.87228,                0.96957,                0.97945,                0.81991,                0.55738,                0.48321,                0.98884,             0.00015255,             0.00015255,             0.00015255
                     63,                0.46078,                0.68831,                0.90661,                0.92426,                0.93252,                0.98299,                0.82543,                0.56185,                0.45888,                0.99461,             0.00015148,             0.00015148,             0.00015148
                     64,                0.44567,                0.67441,                0.89745,                0.85016,                0.97083,                0.98705,                0.84223,                0.54483,                0.44538,                0.97454,              0.0001504,              0.0001504,              0.0001504
                     65,                 0.4478,                0.66987,                0.88867,                 0.8921,                0.95748,                0.97867,                0.83421,                 0.5482,                0.47893,                0.98207,             0.00014933,             0.00014933,             0.00014933
                     66,                0.45351,                0.66367,                0.89855,                0.89142,                0.96683,                0.97919,                0.83894,                  0.552,                0.46733,                0.98279,             0.00014825,             0.00014825,             0.00014825
                     67,                0.45299,                0.63248,                 0.8897,                0.86715,                0.98734,                0.99177,                0.84743,                0.53014,                0.46209,                0.97901,             0.00014718,             0.00014718,             0.00014718
                     68,                0.44994,                0.63141,                0.88833,                   0.87,                0.97991,                0.98838,                0.84131,                0.53773,                0.41218,                0.98162,             0.00014611,             0.00014611,             0.00014611
                     69,                0.42375,                0.60563,                0.88615,                0.88597,                0.97004,                0.98375,                0.84104,                0.55051,                0.43485,                0.99516,             0.00014503,             0.00014503,             0.00014503
                     70,                0.42094,                0.59271,                0.88203,                0.90644,                0.95961,                0.98376,                0.84051,                0.53155,                0.44897,                0.97999,             0.00014396,             0.00014396,             0.00014396
