                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.81205,                 1.8038,                 1.0022,                0.82861,                0.94118,                  0.995,                0.74575,                 0.8275,                0.78228,                 0.9925,             0.00028864,             0.00028864,             0.00028864
                     36,                 0.8422,                 1.6603,                 0.9999,                0.84084,                0.94118,                  0.995,                0.77901,                0.81401,                 0.7599,                0.96367,             0.00028694,             0.00028694,             0.00028694
                     37,                0.83414,                 1.6658,                0.99121,                0.81793,                0.92074,                  0.995,                0.76889,                0.79161,                0.71348,                0.98106,             0.00028523,             0.00028523,             0.00028523
                     38,                0.87417,                 1.7356,                 1.0181,                0.80667,                0.94118,                  0.995,                0.77227,                0.78966,                0.76818,                0.99211,             0.00028352,             0.00028352,             0.00028352
                     39,                0.84277,                 1.6502,                  1.002,                0.83368,                      1,                  0.995,                0.76677,                0.81506,                0.68388,                 1.0034,             0.00028181,             0.00028181,             0.00028181
                     40,                0.83728,                 1.5734,                 0.9911,                0.75086,                0.98945,                  0.995,                0.77952,                0.77268,                0.67193,                0.97293,             0.00028011,             0.00028011,             0.00028011
                     41,                0.84119,                 1.5906,                0.99749,                0.80432,                0.92953,                  0.995,                0.74079,                  0.848,                0.68962,                0.99505,              0.0002784,              0.0002784,              0.0002784
                     42,                0.87521,                 1.6236,                 1.0232,                0.79824,                0.99587,                  0.995,                0.77099,                 0.7866,                0.68571,                 1.0026,             0.00027669,             0.00027669,             0.00027669
                     43,                0.83798,                 1.6055,                0.98952,                 0.8629,                0.99045,                  0.995,                0.75079,                0.80725,                0.63786,                 1.0064,             0.00027498,             0.00027498,             0.00027498
                     44,                0.83666,                 1.5664,                  1.004,                0.90877,                0.96734,                0.98724,                0.76384,                0.76974,                0.62274,                0.97964,             0.00027327,             0.00027327,             0.00027327
                     45,                0.79742,                 1.4262,                 0.9817,                0.90121,                0.98039,                0.98724,                0.76686,                0.75674,                 0.6059,                0.98238,             0.00027157,             0.00027157,             0.00027157
                     46,                0.82232,                 1.4993,                0.99834,                0.89689,                0.98594,                  0.995,                0.77251,                0.75832,                 0.6388,                0.99156,             0.00026986,             0.00026986,             0.00026986
                     47,                0.77684,                 1.5209,                0.99238,                0.89283,                0.92157,                0.98287,                0.77857,                0.73076,                0.63617,                0.95788,             0.00026815,             0.00026815,             0.00026815
                     48,                0.79494,                 1.4358,                 1.0004,                0.82296,                0.98039,                0.98724,                 0.7811,                0.77887,                0.59441,                0.97441,             0.00026644,             0.00026644,             0.00026644
                     49,                0.80401,                  1.464,                0.98567,                0.86411,                0.99911,                  0.995,                0.77827,                0.73289,                0.56525,                0.95841,             0.00026474,             0.00026474,             0.00026474
                     50,                0.78456,                 1.3704,                0.96939,                 0.8468,                      1,                  0.995,                0.77666,                0.77035,                0.58099,                0.97293,             0.00026303,             0.00026303,             0.00026303
                     51,                0.84203,                  1.496,                 1.0069,                0.82171,                0.97422,                0.98724,                0.75988,                0.81405,                0.63292,                0.99457,             0.00026132,             0.00026132,             0.00026132
                     52,                0.81317,                 1.4165,                0.96543,                0.87305,                0.96298,                0.99015,                0.76718,                0.78848,                0.61113,                0.98268,             0.00025961,             0.00025961,             0.00025961
                     53,                0.75751,                 1.3513,                0.99509,                0.86861,                0.98039,                0.99015,                 0.7594,                0.77484,                0.58589,                0.99451,              0.0002579,              0.0002579,              0.0002579
                     54,                0.78513,                 1.3228,                  1.003,                0.84073,                0.99396,                  0.995,                0.75453,                0.76433,                0.53222,                0.97755,              0.0002562,              0.0002562,              0.0002562
                     55,                0.77378,                 1.3068,                0.95666,                0.91965,                0.87272,                  0.995,                0.74087,                0.74093,                0.52878,                0.97073,             0.00025449,             0.00025449,             0.00025449
                     56,                0.77603,                 1.3148,                0.97405,                0.80436,                      1,                  0.995,                0.75491,                0.76956,                0.53464,                0.97169,             0.00025278,             0.00025278,             0.00025278
                     57,                0.77512,                 1.2767,                0.97079,                0.88748,                0.96663,                  0.995,                0.77683,                0.76828,                0.55452,                0.98653,             0.00025107,             0.00025107,             0.00025107
                     58,                0.77463,                 1.2287,                0.97131,                0.89976,                0.96388,                0.99294,                0.78752,                0.74581,                0.55445,                0.98075,             0.00024937,             0.00024937,             0.00024937
                     59,                0.76774,                 1.3746,                0.98113,                0.85552,                      1,                  0.995,                0.77391,                0.75242,                0.52455,                0.97009,             0.00024766,             0.00024766,             0.00024766
                     60,                0.81869,                 1.3167,                0.99279,                0.86996,                0.94118,                  0.995,                0.78103,                0.74773,                0.49995,                0.96398,             0.00024595,             0.00024595,             0.00024595
                     61,                0.77036,                 1.2347,                 0.9705,                0.84674,                0.99906,                  0.995,                0.77802,                0.71971,                0.50252,                  0.963,             0.00024424,             0.00024424,             0.00024424
                     62,                    0.8,                 1.2528,                0.97343,                0.89595,                0.97918,                  0.995,                0.77434,                0.74326,                0.51074,                0.98591,             0.00024253,             0.00024253,             0.00024253
                     63,                0.80001,                 1.1941,                0.98023,                0.91662,                0.97581,                  0.995,                0.78739,                0.70563,                0.52331,                0.95589,             0.00024083,             0.00024083,             0.00024083
