                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3624,                 5.9922,                 1.4728,                      0,                      0,                      0,                      0,                 1.1776,                 4.4106,                 1.3951,              4.086e-05,              4.086e-05,              4.086e-05
                      2,                 1.0374,                  5.294,                 1.2465,                0.04076,                0.08337,                0.07719,                0.06716,                0.96871,                 3.9656,                 1.2009,             8.3574e-05,             8.3574e-05,             8.3574e-05
                      3,                0.93426,                 4.1945,                 1.1787,                0.05669,                0.28672,                0.18526,                0.14017,                0.96893,                 3.5453,                 1.1991,             0.00012586,             0.00012586,             0.00012586
                      4,                0.85396,                 3.6158,                 1.1152,                0.08758,                0.51667,                0.38888,                0.30068,                 1.0249,                  3.246,                  1.222,             0.00016772,             0.00016772,             0.00016772
                      5,                0.80821,                 3.0534,                 1.0822,                0.11513,                0.54766,                0.44598,                0.34099,                 1.0004,                 3.0442,                 1.1886,             0.00020916,             0.00020916,             0.00020916
                      6,                0.81687,                  2.713,                 1.0725,                0.86869,                0.40936,                 0.6277,                0.45653,                 1.0794,                   2.22,                 1.2138,             0.00022138,             0.00022138,             0.00022138
                      7,                0.77657,                 2.4933,                 1.0397,                0.80442,                0.50234,                0.63139,                0.48672,                0.87545,                 1.7048,                 1.0516,             0.00022138,             0.00022138,             0.00022138
                      8,                0.73031,                 2.3323,                 1.0214,                0.82506,                0.52288,                 0.6582,                0.51146,                0.76996,                 1.4388,                0.98112,             0.00022026,             0.00022026,             0.00022026
                      9,                0.71274,                 2.1693,                 1.0076,                0.83822,                0.61456,                0.76563,                0.58791,                0.73422,                 1.2766,                0.97468,             0.00021913,             0.00021913,             0.00021913
                     10,                0.68754,                 2.0614,                 1.0083,                0.73486,                0.69327,                0.80972,                0.60315,                0.77078,                 1.1041,                 1.0105,             0.00021801,             0.00021801,             0.00021801
                     11,                0.68626,                  1.976,                0.99317,                0.73413,                0.74983,                0.80239,                0.60995,                0.75722,                 1.1887,                0.99001,             0.00021689,             0.00021689,             0.00021689
                     12,                0.67582,                  1.905,                 1.0115,                0.72842,                0.77393,                0.81995,                0.60141,                0.74376,                 1.2936,                 1.0028,             0.00021576,             0.00021576,             0.00021576
                     13,                 0.6731,                 1.8145,                0.98832,                0.85945,                0.68363,                0.91047,                0.66209,                0.73757,                 1.0535,                0.99951,             0.00021464,             0.00021464,             0.00021464
                     14,                0.63612,                 1.7594,                0.97245,                0.72853,                0.80682,                0.87728,                0.67251,                0.71025,                 1.0029,                0.97007,             0.00021352,             0.00021352,             0.00021352
                     15,                0.65695,                 1.7462,                0.97423,                0.80387,                0.79181,                0.89753,                0.67902,                0.71126,                0.96404,                0.97346,             0.00021239,             0.00021239,             0.00021239
                     16,                0.63839,                 1.6401,                0.96598,                 0.8516,                0.80372,                0.91974,                0.67915,                0.71503,                  1.001,                  1.004,             0.00021127,             0.00021127,             0.00021127
                     17,                0.62754,                 1.6139,                0.96669,                 0.7192,                0.90076,                0.92321,                0.69202,                0.69141,                0.98072,                 0.9926,             0.00021015,             0.00021015,             0.00021015
